SubjectID,StimulusType,response,RT
participant6,1,1,493
participant6,1,1,492
participant6,1,1,475
participant6,1,1,475
participant6,1,1,528
participant6,0,0,0
participant6,1,1,460
participant6,1,1,525
participant6,1,1,460
participant6,1,1,509
participant6,1,1,460
participant6,0,0,0
participant6,1,1,409
participant6,1,1,492
participant6,0,0,0
participant6,0,0,0
participant6,1,1,459
participant6,1,1,578
participant6,0,0,0
participant6,1,1,458
participant6,1,1,458
participant6,0,0,0
participant6,0,0,0
participant6,1,1,409
participant6,1,1,511
participant6,1,1,477
participant6,1,1,442
participant6,1,1,458
participant6,1,1,611
participant6,1,1,407
participant6,1,1,409
participant6,0,0,0
participant6,1,1,375
participant6,1,1,442
participant6,1,1,392
participant6,1,1,460
participant6,1,1,374
participant6,1,1,341
participant6,1,1,390
participant6,0,0,0
participant6,1,1,410
participant6,1,1,425
participant6,1,1,407
participant6,1,1,526
participant6,0,0,0
participant6,1,1,324
participant6,1,1,323
participant6,1,1,322
participant6,0,0,0
participant6,1,1,256
participant6,1,1,357
participant6,0,1,342
participant6,1,1,358
participant6,1,1,444
participant6,1,1,409
participant6,1,1,407
participant6,0,0,0
participant6,1,1,340
participant6,1,1,373
participant6,1,1,408
participant6,1,1,391
participant6,1,1,407
participant6,1,1,407
participant6,1,1,408
participant6,1,1,390
participant6,1,1,357
participant6,1,1,460
participant6,1,1,440
participant6,0,0,0
participant6,1,1,290
participant6,0,0,0
participant6,0,0,0
participant6,1,1,375
participant6,1,1,390
participant6,1,1,544
participant6,1,1,424
participant6,1,1,476
participant6,1,1,442
participant6,1,1,442
participant6,1,1,579
participant6,0,0,0
participant6,1,1,375
participant6,1,1,392
participant6,1,1,408
participant6,0,0,0
participant6,1,1,305
participant6,1,1,409
participant6,1,1,407
participant6,1,1,408
participant6,1,1,356
participant6,1,1,391
participant6,0,0,0
participant6,0,0,0
participant6,1,1,457
participant6,1,1,457
participant6,1,1,424
participant6,1,1,459
participant6,1,1,459
participant6,1,1,441
participant6,1,1,507
